nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion
Luis Munoz Marin International,San Juan,PR,18.43781,-66.004574,"Pr-17 St. From San Juan (PR-17 & PR-26), Carolina 00937"
Bemidji Regional,Bemidji,MN,47.469891,-94.884567,"211 America Ave NW, Bemidji, MN 56601"
San Luis County Regional,San Luis Obispo,CA,35.279295,-120.663587,"Higuera St, San Luis Obispo, CA 93401"
Orlando Sanford International,Sanford,FL,28.808848,-81.265251,"400 Sanford Ave (4th), Sanford, FL 32771"
John Wayne Airport-Orange County,Santa Ana,CA,33.77025,-117.86789,"2500 N Main St, Santa Ana, CA 92705"
Roberts Field,Bend/Redmond,OR,44.276707,-121.174905,"631 W Antler Ave, Redmond, OR 97756"
Santa Barbara Municipal,Santa Barbara,CA,34.416035,-119.691384,"Santa Barbara St (btw Ortega & Haley), Santa Barbara, CA 93101"
Santa Fe Municipal,Santa Fe,NM,35.687009,-105.937843,"100 E San Francisco St (at Shelby St.), Santa Fe, NM 87501"
Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,34.950484,-120.435283,"100 Town Ctr E, Santa Maria, CA 93454"
Charles M. Schulz - Sonoma County,Santa Rosa,CA,38.445792,-122.707249,"1111 College Ave, Santa Rosa, CA 95404"
Sarasota/Bradenton International,Sarasota/Bradenton,FL,27.498837,-82.573699,"102 12th St W, Bradenton, FL 34205"
Chippewa County International,Sault Ste. Marie,MI,46.496762,-84.347978,"523 Ashmun St, Sault Ste. Marie, MI 49783"
Savannah/Hilton Head International,Savannah,GA,32.1276,-81.2021,"400 Airways Ave (at Gulfstream Rd), Savannah, GA 31408"
Bethel Airport,Bethel,AK,60.784551,-161.79055,"1484 Chief Eddy Hoffman Hwy, Bethel, AK 99559"
Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,41.867023,-103.662375,"2001 Broadway, Scottsbluff, NE 69361"
Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,41.243634,-75.883969,"24 E Northampton St (at S Main St.), Wilkes-Barre, PA 18701"
Billings Logan International,Billings,MT,45.785949,-108.510072,"510 N 28th St (at 6th Ave N), Billings, MT 59101"
Seattle/Tacoma International,Seattle,WA,47.610733,-122.337593,"1525 4th Ave, Seattle, WA 98101"
Sheridan County,Sheridan,WY,44.806619,-106.94648,"580 E 5th St, Sheridan, WY 82801"
Shreveport Regional,Shreveport,LA,32.513386,-93.744374,"101 Crockett St, Shreveport, LA 71101"
Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,42.496002,-96.40443,"528 Pierce St, Sioux City, IA 51101"
Joe Foss Field,Sioux Falls,SD,43.562417,-96.752976,"2000 W Russell St, Sioux Falls, SD 57104"
Sitka Rocky Gutierrez,Sitka,AK,57.051614,-135.331552,"103 Monastery St, Sitka, AK 99835"
South Bend International,South Bend,IN,41.675618,-86.249945,"122 S Michigan St (at Washington St), South Bend, IN 46601"
Spokane International,Spokane,WA,47.658803,-117.427092,"1002 W Riverside Ave (at N Monroe St), Spokane, WA 99201"
Abraham Lincoln Capital,Springfield,IL,39.803336,-89.647124,"212 N 6th St (btwn Madison St & Jefferson St), Springfield, IL 62701"
Springfield-Branson National,Springfield,MO,37.251526,-93.306533,"3043 N Fort Ave, Springfield, MO 65803"
St. Cloud Regional,St. Cloud,MN,45.556997,-94.166318,"1300 W Saint Germain St, Saint Cloud, MN 56301"
St George Regional,St. George,UT,37.100803,-113.57822,"250 E 400 S (at S 300 E), Saint George, UT 84770"
St Louis Lambert International,St. Louis,MO,38.630785,-90.199453,"1301 Olive St, St Louis, MO 63103"
Greater Binghamton/Edwin A. Link Field,Binghamton,NY,42.097799,-75.918252,"83 Front St, Binghamton, NY 13905"
St Pete Clearwater International,St. Petersburg,FL,27.7692,-82.67732,"3200 1st Ave S, Saint Petersburg, FL 33712"
University Park,State College,PA,40.804158,-77.874932,"850 McKee St, State College, PA 16803"
Shenandoah Valley Regional,Staunton,VA,38.14744,-79.073527,"29 Byers St, Staunton, VA 24401"
Stillwater Regional,Stillwater,OK,37.967543,-100.871894,"205 E Laurel St, Garden City, KS 67846"
Stockton Metro,Stockton,CA,37.955328,-121.298009,"404 W Fremont St, Stockton, CA 95203"
Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,43.682149,-114.362522,"511 Sun Valley Rd E, Ketchum, ID 83340"
Syracuse Hancock International,Syracuse,NY,43.047502,-76.149481,"340 Montgomery St, Syracuse, NY 13202"
Birmingham-Shuttlesworth International,Birmingham,AL,33.522297,-86.81007,"2000 Reverend Abraham Woods Jr Blvd, Birmingham, AL 35203"
Tallahassee International,Tallahassee,FL,30.447204,-84.279091,"507 N Calhoun St, Tallahassee, FL 32301"
Tampa International,Tampa,FL,27.947109,-82.460712,"Tampa, FL 33602"
Texarkana Regional-Webb Field,Texarkana,AR,33.441197,-94.043314,"100 N State Line Ave, Texarkana, TX 75501"
Eugene F Kranz Toledo Express,Toledo,OH,41.65832636041181,-83.55932950973511,"West Grove Place, Toledo OH United States, Toledo, OH 43620"
Cherry Capital,Traverse City,MI,44.76388,-85.621554,"154 E Front St (btwn Cass And Union), Traverse City, MI 49684"
Trenton Mercer,Trenton,NJ,40.216891,-74.744278,"508 Hamilton Ave (Chambers St.), Trenton, NJ 08609"
Tucson International,Tucson,AZ,32.235715,-110.92103,"3370 E Speedway Blvd, Tucson, AZ 85716"
Tulsa International,Tulsa,OK,36.154571,-95.989531,"110 E 2nd St (at S Cincinnati Ave), Tulsa, OK 74103"
Joslin Field - Magic Valley Regional,Twin Falls,ID,42.55971,-114.465456,"601 Shoshone St N, Twin Falls, ID 83301"
Tyler Pounds Regional,Tyler,TX,32.34932,-95.302251,"201 S College Ave (Elm st), Tyler, TX 75702"
Valdosta Regional,Valdosta,GA,30.833315,-83.279832,"305 N Patterson St, Valdosta, GA 31601"
Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,30.48771,-86.496294,"McCarthy Ave (at Seminole Rd), Eglin Air Force Base, FL 32542"
Vernal Regional,Vernal,UT,40.45512,-109.518563,"55 S 500 E, Vernal, UT 84078"
Victoria Regional,Victoria,TX,37.967543,-100.871894,"205 E Laurel St, Garden City, KS 67846"
Waco Regional,Waco,TX,31.556585,-97.132727,"500 Washington Ln, Waco, TX 76708"
Walla Walla Regional,Walla Walla,WA,46.066099,-118.341958,"363 Orchard St (3rd St), Walla Walla, WA 99362"
Ronald Reagan Washington National,Washington,DC,38.908098,-77.018688,"1 Aviation Cir, Washington, DC 20001"
Washington Dulles International,Washington,DC,38.884012,-77.025447,"700 Lenfant Plz SW, Washington, D.C. 20024"
Bishop Airport,Bishop,CA,37.362526,-118.395613,"237 N Main St, Bishop, CA 93514"
Waterloo Regional,Waterloo,IA,42.498217,-92.341935,"225 Commercial St (US Hwy 63), Waterloo, IA 50701"
Watertown Regional,Watertown,SD,44.900083,-97.114382,"6 S Broadway, Watertown, SD 57201"
Bismarck Municipal,Bismarck/Mandan,ND,46.823565,-100.878845,"805 Adobe Trl, Mandan, ND 58554"
Pangborn Memorial,Wenatchee,WA,47.422574,-120.31412,"S Wenatchee Ave, Wenatchee, WA 98801"
Palm Beach International,West Palm Beach/Palm Beach,FL,26.713653,-80.054474,"415 Clematis St (Dixie Hwy), West Palm Beach, FL 33401"
Westchester County,White Plains,NY,41.03018,-73.763861,"200 E Post Rd, White Plains, NY 10601"
Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,37.967724,-100.876059,"304 N 9th St, Garden City, KS 67846"
Wichita Dwight D Eisenhower National,Wichita,KS,37.686324,-97.342512,"400 W Douglas Ave (at Waco Ave.), Wichita, KS 67202"
Williston Basin International,Williston,ND,48.161152,-103.610936,"822 18th St E, Williston, ND 58801"
