nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion
Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,37.74171,-92.140858,"5017 Iowa Avenue, Fort Leonard Wood , 65473, United States, Fort Leonard Wood, MO 65473"
Southwest Florida International,Fort Myers,FL,26.62509,-81.840446,"3559 Veronica S Shoemaker Blvd, Fort Myers, FL 33916"
Fort Smith Regional,Fort Smith,AR,37.967543,-100.871894,"205 E Laurel St, Garden City, KS 67846"
Fort Wayne International,Fort Wayne,IN,41.105787,-85.153246,"3411 Sherman Blvd, Fort Wayne, IN 46808"
Fresno Yosemite International,Fresno,CA,36.73507,-119.784989,"700 M St, Fresno, CA 93721"
Gainesville Regional,Gainesville,FL,29.651727,-82.325607,"19 W University Ave (Corner of 1st Street & Main Street), Gainesville, FL 32601"
California Redwood Coast Humboldt County,Arcata/Eureka,CA,40.804412,-124.165262,"205 G St (2nd and G Street), Eureka, CA 95501"
Asheville Regional,Asheville,NC,37.967543,-100.871894,"205 E Laurel St, Garden City, KS 67846"
Gillette Campbell County,Gillette,WY,44.29087,-105.504446,"406 S Gillette Ave, Gillette, WY 82716"
Grand Forks International,Grand Forks,ND,47.925873,-97.033287,"375 2nd Ave N, Grand Forks, ND 58203"
Central Nebraska Regional,Grand Island,NE,40.902997,-98.328664,"700 E Stolley Park Rd, Grand Island, NE 68801"
Grand Junction Regional,Grand Junction,CO,39.067131,-108.564887,"449 Main St (5th St.), Grand Junction, CO 81501"
Gerald R. Ford International,Grand Rapids,MI,42.968468,-85.67733,"303 Pearl St NW, Grand Rapids, MI 49504"
Great Falls International,Great Falls,MT,47.500537,-111.301855,"Great Falls, MT 59405"
Green Bay Austin Straubel International,Green Bay,WI,44.518399,-88.012503,"201 Main St, Green Bay, WI 54301"
Piedmont Triad International,Greensboro/High Point,NC,35.955478,-80.003596,"210 E Commerce Ave (Green Drive), High Point, NC 27260"
Pitt Greenville,Greenville,NC,35.616663,-77.389978,"200 Nash St, Greenville, NC 27834"
Greenville-Spartanburg International,Greer,SC,34.938587,-82.227846,"100 S Main St, Greer, SC 29650"
Guam International,Guam,TT,10.649522,-61.514125,"Wrightson Rd., Port of Spain"
Gulfport-Biloxi International,Gulfport/Biloxi,MS,30.392134,-88.887587,"777 Beach Blvd, Biloxi, MS 39530"
Gunnison-Crested Butte Regional,Gunnison,CO,38.545879,-106.927873,"West Virginia Avenue, Gunnison, CO 81230"
Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,39.644821,-77.719629,"25 W Church St, Hagerstown, MD 21740"
Houghton County Memorial,Hancock/Houghton,MI,47.126353,-88.580714,"821 W Water St, Hancock, MI 49930"
Valley International,Harlingen/San Benito,TX,37.980112,-100.865954,"1701 N 3rd St, Garden City, KS 67846"
Harrisburg International,Harrisburg,PA,40.268141,-76.888292,"1110 N 3rd St (at Herr St), Harrisburg, PA 17102"
Bradley International,Hartford,CT,41.765885,-72.716661,"668 Farmington Ave (Prospect Ave), Hartford, CT 06119"
Tri-State/Milton J. Ferguson Field,Ashland,WV,37.974831,-100.870986,"1016 N Main St, Garden City, KS 67846"
Aspen Pitkin County Sardy Field,Aspen,CO,39.190666,-106.817497,"506 E Main St (Galena Street), Aspen, CO 81611"
Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,31.693084,-89.128801,"414 Front St, Laurel, MS 39440"
Yampa Valley,Hayden,CO,40.495698,-107.257471,"106 E Jefferson Ave, Hayden, CO 81639"
Hays Regional,Hays,KS,38.876746,-99.327674,"1609 Main St (17th St), Hays, KS 67601"
Helena Regional,Helena,MT,46.594976,-112.037935,"750 Great Northern Blvd, Helena, MT 59601"
Range Regional,Hibbing,MN,47.427174,-92.937394,"2100 4th Ave E, Hibbing, MN 55746"
Hilo International,Hilo,HI,19.725101,-155.070502,"123 Lihiwai St, Hilo, HI 96720"
Hilton Head Airport,Hilton Head,SC,32.226587,-80.698814,"120 Beach City Rd, Hilton Head Island, SC 29926"
Lea County Regional,Hobbs,NM,32.703113,-103.135278,"301 N Dalmont St, Hobbs, NM 88240"
Daniel K Inouye International,Honolulu,HI,21.300627,-157.862575,"500 Ala Moana Blvd, Honolulu, HI 96813"
George Bush Intercontinental/Houston,Houston,TX,37.917403,-100.707006,"Garden City , United States, Garden City, KS 67846"
William P Hobby,Houston,TX,37.966953,-100.87415,"301 N Main St (Chestnut St.), Garden City, KS 67846"
Huntsville International-Carl T Jones Field,Huntsville,AL,37.967672,-100.874644,"121 W Grant Ave (btwn N 8th & Main St.), Garden City, KS 67846"
Idaho Falls Regional,Idaho Falls,ID,43.491423,-112.042536,"457 W Broadway St (btwn Capital Ave & Park Ave), Idaho Falls, ID 83402"
Indianapolis International,Indianapolis,IN,39.771856,-86.153999,"310 Massachusetts Ave, Indianapolis, IN 46204"
Falls International Einarson Field,International Falls,MN,48.602239,-93.410691,"750 4th St (8th Avenue), International Falls, MN 56649"
Ford,Iron Mountain/Kingsfd,MI,42.968468,-85.67733,"303 Pearl St NW, Grand Rapids, MI 49504"
Long Island MacArthur,Islip,NY,40.729149,-73.212623,"560 Main St, Islip, NY 11751"
Ithaca Tompkins International,Ithaca/Cortland,NY,42.600067,-76.180802,"36 Main St, Cortland, NY 13045"
Jackson Hole,Jackson,WY,43.47933,-110.763018,"50 W Broadway Ave, Jackson, WY 83001"
Aberdeen Regional,Aberdeen,SD,45.463981,-98.487868,"103 1/2 S Main St, Aberdeen, SD 57401"
Garden City,Garden City,KS,37.97747,-100.858105,"1224 Center St, Garden City, KS 67846"
